name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Fortaleza, CE, Brasil",2024-05-18,32.0,25.0,28.0,36.8,25.0,30.8,23.1,75.3,0.0,0,0.0,rain,0,0,32.0,24.1,131.1,1012.6,27.9,10.9,227.3,19.5,7,10,2024-05-18T05:32:29,2024-05-18T17:28:53,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-19,31.0,25.0,28.0,36.6,25.0,31.3,24.4,81.6,3.0,100,4.17,rain,0,0,32.0,20.5,128.4,1012.5,40.5,10.9,221.6,19.1,8,10,2024-05-19T05:32:35,2024-05-19T17:28:53,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-20,30.0,25.0,27.8,36.2,25.0,31.3,24.5,82.3,0.6,100,4.17,rain,0,0,32.0,25.9,128.5,1012.7,49.8,11.0,222.5,19.3,7,10,2024-05-20T05:32:42,2024-05-20T17:28:53,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"82397099999,SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-21,31.0,26.0,28.3,35.5,26.0,32.0,24.3,79.9,0.0,0,0.0,rain,0,0,37.8,31.7,119.6,1012.8,39.7,11.0,253.2,21.9,9,10,2024-05-21T05:32:50,2024-05-21T17:28:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-22,31.0,26.0,28.4,35.5,26.0,31.9,23.8,76.9,0.0,0,0.0,rain,0,0,45.4,37.1,126.9,1012.8,45.2,11.0,238.6,20.6,8,10,2024-05-22T05:32:58,2024-05-22T17:28:55,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-23,31.0,26.0,28.3,36.6,26.0,32.2,24.3,79.4,3.0,100,4.17,rain,0,0,47.9,29.5,125.7,1011.9,71.9,10.5,200.1,17.1,7,10,2024-05-23T05:33:06,2024-05-23T17:28:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-24,31.0,26.0,28.2,37.8,26.0,31.6,24.0,78.7,5.0,100,4.17,rain,0,0,40.0,27.7,136.2,1011.6,74.9,11.0,131.7,11.3,5,10,2024-05-24T05:33:15,2024-05-24T17:29:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-25,31.0,27.0,28.8,37.8,30.1,33.4,24.5,78.3,2.0,100,4.17,rain,0,0,40.0,25.9,119.4,1011.6,70.2,10.9,203.4,17.5,7,10,2024-05-25T05:33:24,2024-05-25T17:29:04,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-26,29.1,25.0,27.2,33.6,25.0,29.7,23.9,82.6,0.0,0,0.0,rain,0,0,36.7,31.7,119.2,1012.9,60.4,10.9,61.3,5.4,2,10,2024-05-26T05:33:33,2024-05-26T17:29:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Fortaleza, CE, Brasil",2024-05-27,32.0,25.8,28.3,36.8,25.8,30.7,23.0,74.4,0.0,0,0.0,,0,0,35.6,27.7,137.0,1012.7,32.1,11.0,255.0,22.1,9,10,2024-05-27T05:33:43,2024-05-27T17:29:12,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
